id, rate
1000, 0.15
1003, 0.54
1005, 0.18
1007, 0.00
1009, 0.10
1011, 0.05
1013, 0.05
1015, 0.01
1017, 0.03
1019, 0.22
1021, 0.10
1023, 0.00
1025, 0.04
1027, 0.01
1029, 0.03
1031, 0.25
1033, 0.28
1035, 0.07
1037, 0.02
1039, 0.21
1041, 0.11
1043, 0.05
1045, 0.17
1047, 0.16
1049, 0.06
1051, 0.20
1053, 0.56
1055, 0.08
1057, 0.11
1059, 0.01
1061, 0.28
1063, 0.05
1065, 0.21
1067, 0.30
1069, 0.32
1071, 0.06
1073, 0.01
1075, 0.00
1077, 0.11
1079, 0.21
1081, 0.03
1083, 0.26
1085, 0.11
1087, 0.12
1089, 0.24
1091, 0.00
1093, 0.01
1095, 0.03
1097, 0.15
1099, 0.46
1101, 0.02
1103, 0.04
1105, 0.08
1107, 0.04
1109, 0.17
8049, 0.00
1111, 0.03
1113, 0.00
1115, 0.07
1117, 0.05
1119, 0.00
1121, 0.10
1123, 0.02
1125, 0.08
1127, 0.02
1129, 0.17
1131, 0.05
1133, 0.03
4001, 0.00
4003, 0.21
4005, 0.00
4007, 0.00
4009, 0.00
4011, 0.14
4012, 0.00
4013, 0.56
4015, 0.31
4017, 0.10
4019, 0.00
4021, 0.00
4023, 0.02
4025, 0.01
4027, 0.64
5001, 0.12
5003, 0.39
5005, 0.00
5007, 0.01
5009, 0.01
5011, 0.06
5013, 0.01
5015, 0.00
5017, 0.24
5019, 0.05
5021, 0.17
5023, 0.00
5025, 0.02
5027, 0.01
5029, 0.05
5031, 0.38
5033, 0.02
5035, 0.19
5037, 0.11
5039, 0.00
5041, 0.36
5043, 0.36
5045, 0.00
5047, 0.01
5049, 0.00
5051, 0.01
5053, 0.01
5055, 0.22
5057, 0.06
5059, 0.04
5061, 0.05
5063, 0.04
5065, 0.00
5067, 0.11
5069, 0.28
5071, 0.01
5073, 0.32
5075, 0.09
5077, 0.18
5079, 0.25
5081, 0.09
5083, 0.03
5085, 0.19
5087, 0.00
5089, 0.00
5091, 0.09
5093, 0.39
5095, 0.20
5097, 0.00
5099, 0.00
5101, 0.00
5103, 0.02
5105, 0.00
5107, 0.34
5109, 0.00
5111, 0.20
5113, 0.00
5115, 0.01
5117, 0.12
5119, 0.07
5121, 0.06
5123, 0.24
5125, 0.00
5127, 0.01
5129, 0.01
5131, 0.00
5133, 0.00
5135, 0.02
5137, 0.00
5139, 0.02
5141, 0.00
5143, 0.01
5145, 0.03
5147, 0.12
5149, 0.02
6001, 0.08
6003, 0.00
6005, 0.07
6007, 0.45
6009, 0.02
6011, 0.39
6013, 0.30
6015, 0.06
6017, 0.13
6019, 0.77
6021, 0.42
6023, 0.01
6025, 0.69
6027, 0.00
6029, 0.63
6031, 0.64
6033, 0.22
6035, 0.03
6037, 0.22
6039, 0.57
6041, 0.00
6043, 0.02
6045, 0.19
6047, 0.57
6049, 0.21
6051, 0.00
6053, 0.55
6055, 0.27
6057, 0.01
6059, 0.45
6061, 0.20
6063, 0.00
6065, 0.53
6067, 0.35
6069, 0.24
6071, 0.32
6073, 0.37
6075, 0.00
6077, 0.55
6079, 0.12
6081, 0.18
6083, 0.38
6085, 0.25
6087, 0.52
6089, 0.02
6091, 0.00
6093, 0.10
6095, 0.30
6097, 0.21
6099, 0.57
6101, 0.50
6103, 0.26
6105, 0.02
6107, 0.67
6109, 0.01
6111, 0.54
6113, 0.41
6115, 0.54
8001, 0.11
8003, 0.25
8005, 0.03
8007, 0.02
8009, 0.11
8011, 0.00
8013, 0.17
8015, 0.00
8017, 0.17
8019, 0.00
8021, 0.05
8023, 0.00
8025, 0.16
8027, 0.07
8029, 0.17
8031, 0.00
8033, 0.01
8035, 0.02
8037, 0.06
8039, 0.15
8041, 0.01
8043, 0.00
8045, 0.06
8047, 0.00
8051, 0.01
8053, 0.00
8055, 0.04
8057, 0.02
8059, 0.01
8061, 0.12
8063, 0.16
8065, 0.00
8067, 0.01
8069, 0.29
8071, 0.09
8073, 0.00
8075, 0.11
8077, 0.20
8079, 0.00
8081, 0.00
8083, 0.04
8085, 0.24
8087, 0.19
8089, 0.57
8091, 0.00
8093, 0.00
8095, 0.20
8097, 0.04
8099, 0.21
8101, 0.21
8103, 0.00
8105, 0.24
8107, 0.08
8109, 0.10
8111, 0.00
8113, 0.00
8115, 0.17
8117, 0.00
8119, 0.00
8121, 0.08
8123, 0.23
8125, 0.28
16047, 0.00
9001, 0.09
9003, 0.29
9005, 0.05
9007, 0.13
9009, 0.18
9011, 0.07
9013, 0.15
9015, 0.13
10001, 0.30
10003, 0.34
10005, 0.27
12001, 0.13
12003, 0.17
12005, 0.07
12007, 0.21
12009, 0.52
12011, 0.31
12013, 0.63
12015, 0.51
12017, 0.10
12019, 0.00
12021, 0.75
12023, 0.10
12027, 0.61
12029, 0.06
12031, 0.17
12033, 0.50
12035, 0.53
12037, 0.00
12039, 0.23
12041, 0.23
12043, 0.38
12045, 0.03
12047, 0.15
12049, 0.44
12051, 0.65
12053, 0.13
12055, 0.64
12057, 0.36
12059, 0.12
12061, 0.86
12063, 0.37
12065, 0.17
12067, 0.16
12069, 0.33
12071, 0.63
12073, 0.05
12075, 0.16
12077, 0.08
12079, 0.30
12081, 0.48
12083, 0.12
12085, 0.76
12087, 0.00
12089, 0.04
12091, 0.20
12093, 0.33
12095, 0.62
12097, 0.43
12099, 0.47
12101, 0.25
12103, 0.18
12105, 0.61
12107, 0.31
12109, 0.76
12111, 0.82
12113, 0.43
12115, 0.28
12117, 0.16
12119, 0.12
12121, 0.23
12123, 0.04
12125, 0.19
12127, 0.32
12129, 0.22
12131, 0.14
12133, 0.13
13001, 0.68
13003, 0.51
13005, 0.35
13007, 0.39
13009, 0.00
13011, 0.00
13013, 0.02
13015, 0.12
13017, 0.44
13019, 0.47
13021, 0.06
13023, 0.39
13025, 0.31
13027, 0.60
13029, 0.61
13031, 0.64
13033, 0.44
13035, 0.02
13037, 0.49
13039, 0.06
13043, 0.59
13045, 0.05
13047, 0.02
13049, 0.10
13051, 0.16
13053, 0.00
13055, 0.00
13057, 0.09
13059, 0.01
13061, 0.36
13063, 0.02
13065, 0.24
13067, 0.02
13069, 0.47
13071, 0.69
13073, 0.01
13075, 0.52
13077, 0.00
13079, 0.33
13081, 0.63
13083, 0.01
13085, 0.00
13087, 0.59
13089, 0.00
13091, 0.34
13093, 0.73
13095, 0.45
13097, 0.00
13099, 0.52
13101, 0.37
13103, 0.43
13105, 0.06
13107, 0.50
13109, 0.34
13111, 0.05
13113, 0.02
13115, 0.12
13117, 0.02
13119, 0.05
13121, 0.01
13123, 0.07
13125, 0.16
13127, 0.01
13129, 0.02
13131, 0.39
13133, 0.01
13135, 0.01
13137, 0.03
13139, 0.02
13141, 0.00
13143, 0.00
13145, 0.04
13147, 0.00
13149, 0.02
13151, 0.03
13153, 0.36
13155, 0.53
13157, 0.00
13159, 0.00
13161, 0.69
13163, 0.29
13165, 0.46
13167, 0.28
13169, 0.04
13171, 0.00
13173, 0.64
13175, 0.24
13177, 0.43
13179, 0.05
13181, 0.00
13183, 0.21
13185, 0.43
13187, 0.08
13189, 0.03
13191, 0.00
13193, 0.38
13195, 0.01
13197, 0.08
13199, 0.04
13201, 0.48
13205, 0.57
13207, 0.04
13209, 0.22
13211, 0.03
13213, 0.03
13215, 0.02
13217, 0.00
13219, 0.09
13221, 0.01
13223, 0.04
13225, 0.46
13227, 0.03
13229, 0.55
13231, 0.11
13233, 0.07
13235, 0.52
13237, 0.00
13239, 0.47
13241, 0.11
13243, 0.35
13245, 0.15
13247, 0.00
13249, 0.21
13251, 0.52
13253, 0.63
13255, 0.00
13257, 0.06
13259, 0.31
13261, 0.55
13263, 0.00
13265, 0.00
13267, 0.38
13269, 0.32
13271, 0.36
13273, 0.43
13275, 0.57
13277, 0.56
13279, 0.36
13281, 0.01
13283, 0.26
13285, 0.05
13287, 0.51
13289, 0.43
13291, 0.07
13293, 0.00
13295, 0.02
13297, 0.06
13299, 0.30
13301, 0.00
13303, 0.23
13305, 0.55
13307, 0.31
13309, 0.22
13311, 0.03
13313, 0.01
13315, 0.51
13317, 0.03
13319, 0.03
13321, 0.55
16001, 0.15
16003, 0.00
16005, 0.06
16007, 0.00
16009, 0.17
16011, 0.24
16013, 0.00
16015, 0.00
16017, 0.02
16019, 0.11
16021, 0.38
16023, 0.05
16025, 0.05
16027, 0.33
16029, 0.02
16031, 0.19
16033, 0.00
16035, 0.20
16037, 0.00
16039, 0.29
16041, 0.03
16043, 0.16
16045, 0.14
16049, 0.05
16051, 0.18
16053, 0.26
16055, 0.04
16057, 0.25
16059, 0.00
16061, 0.14
16063, 0.00
16065, 0.28
16067, 0.00
16069, 0.22
16071, 0.01
16073, 0.13
16075, 0.00
16077, 0.14
16079, 0.00
16081, 0.20
16083, 0.17
16085, 0.06
16087, 0.07
17001, 0.16
17003, 0.04
17005, 0.07
17007, 0.13
17009, 0.17
17011, 0.26
17013, 0.08
17015, 0.47
17017, 0.17
17019, 0.40
17021, 0.14
17023, 0.14
17025, 0.09
17027, 0.21
17029, 0.09
17031, 0.10
17033, 0.13
17035, 0.18
17037, 0.25
17039, 0.16
17041, 0.10
17043, 0.21
17045, 0.19
17047, 0.06
17049, 0.15
17051, 0.18
17053, 0.31
17055, 0.16
17057, 0.12
17059, 0.14
17061, 0.22
17063, 0.25
17065, 0.06
17067, 0.17
17069, 0.02
17071, 0.26
17073, 0.24
17075, 0.34
17077, 0.02
17079, 0.24
17081, 0.06
17083, 0.17
17085, 0.35
17087, 0.01
17089, 0.19
17091, 0.41
17093, 0.15
17095, 0.15
17097, 0.16
17099, 0.18
17101, 0.05
17103, 0.26
17105, 0.27
17107, 0.16
17109, 0.14
17111, 0.22
17113, 0.25
17115, 0.13
17117, 0.23
17119, 0.24
17121, 0.15
17123, 0.24
17125, 0.18
17127, 0.03
17129, 0.08
17131, 0.19
17133, 0.08
17135, 0.16
17137, 0.19
17139, 0.08
17141, 0.32
17143, 0.16
17145, 0.08
17147, 0.13
17149, 0.20
17151, 0.01
17153, 0.04
17155, 0.16
17157, 0.12
17159, 0.16
17161, 0.22
17163, 0.13
17165, 0.13
17167, 0.14
17169, 0.14
17171, 0.14
17173, 0.11
17175, 0.27
17177, 0.37
17179, 0.21
17181, 0.05
17183, 0.29
17185, 0.17
17187, 0.31
17189, 0.16
17191, 0.10
17193, 0.19
17195, 0.33
17197, 0.16
17199, 0.05
17201, 0.22
17203, 0.17
18001, 0.10
18003, 0.08
18005, 0.15
18007, 0.37
18009, 0.10
18011, 0.10
18013, 0.12
18015, 0.38
18017, 0.21
18019, 0.07
18021, 0.08
18023, 0.18
18025, 0.04
18027, 0.18
18029, 0.03
18031, 0.34
18033, 0.04
18035, 0.05
18037, 0.20
18039, 0.24
18041, 0.29
18043, 0.01
18045, 0.13
18047, 0.23
18049, 0.12
18051, 0.27
18053, 0.07
18055, 0.17
18057, 0.19
18059, 0.13
18061, 0.04
18063, 0.09
18065, 0.10
18067, 0.12
18069, 0.12
18071, 0.14
18073, 0.28
18075, 0.05
18077, 0.10
18079, 0.07
18081, 0.17
18083, 0.18
18085, 0.16
18087, 0.26
18089, 0.17
18091, 0.31
18093, 0.06
18095, 0.08
18097, 0.12
18099, 0.22
18101, 0.09
18103, 0.18
18105, 0.10
18107, 0.16
18109, 0.15
18111, 0.28
18113, 0.08
18115, 0.09
18117, 0.14
18119, 0.05
18121, 0.12
18123, 0.01
