id	rate
1000	.15
1003	.54
1005	.18
1007	.00
1009	.10
1011	.05
1013	.05
1015	.01
1017	.03
1019	.22
1021	.10
1023	.00
1025	.04
1027	.01
1029	.03
1031	.25
1033	.28
1035	.07
1037	.02
1039	.21
1041	.11
1043	.05
1045	.17
1047	.16
1049	.06
1051	.20
1053	.56
1055	.08
1057	.11
1059	.01
1061	.28
1063	.05
1065	.21
1067	.30
1069	.32
1071	.06
1073	.01
1075	.00
1077	.11
1079	.21
1081	.03
1083	.26
1085	.11
1087	.12
1089	.24
1091	.00
1093	.01
1095	.03
1097	.15
1099	.46
1101	.02
1103	.04
1105	.08
1107	.04
1109	.17
8049	.00
1111	.03
1113	.00
1115	.07
1117	.05
1119	.00
1121	.10
1123	.02
1125	.08
1127	.02
1129	.17
1131	.05
1133	.03
4001	.00
4003	.21
4005	.00
4007	.00
4009	.00
4011	.14
4012	.00
4013	.56
4015	.31
4017	.10
4019	.00
4021	.00
4023	.02
4025	.01
4027	.64
5001	.12
5003	.39
5005	.00
5007	.01
5009	.01
5011	.06
5013	.01
5015	.00
5017	.24
5019	.05
5021	.17
5023	.00
5025	.02
5027	.01
5029	.05
5031	.38
5033	.02
5035	.19
5037	.11
5039	.00
5041	.36
5043	.36
5045	.00
5047	.01
5049	.00
5051	.01
5053	.01
5055	.22
5057	.06
5059	.04
5061	.05
5063	.04
5065	.00
5067	.11
5069	.28
5071	.01
5073	.32
5075	.09
5077	.18
5079	.25
5081	.09
5083	.03
5085	.19
5087	.00
5089	.00
5091	.09
5093	.39
5095	.20
5097	.00
5099	.00
5101	.00
5103	.02
5105	.00
5107	.34
5109	.00
5111	.20
5113	.00
5115	.01
5117	.12
5119	.07
5121	.06
5123	.24
5125	.00
5127	.01
5129	.01
5131	.00
5133	.00
5135	.02
5137	.00
5139	.02
5141	.00
5143	.01
5145	.03
5147	.12
5149	.02
6001	.08
6003	.00
6005	.07
6007	.45
6009	.02
6011	.39
6013	.30
6015	.06
6017	.13
6019	.77
6021	.42
6023	.01
6025	.69
6027	.00
6029	.63
6031	.64
6033	.22
6035	.03
6037	.22
6039	.57
6041	.00
6043	.02
6045	.19
6047	.57
6049	.21
6051	.00
6053	.55
6055	.27
6057	.01
6059	.45
6061	.20
6063	.00
6065	.53
6067	.35
6069	.24
6071	.32
6073	.37
6075	.00
6077	.55
6079	.12
6081	.18
6083	.38
6085	.25
6087	.52
6089	.02
6091	.00
6093	.10
6095	.30
6097	.21
6099	.57
6101	.50
6103	.26
6105	.02
6107	.67
6109	.01
6111	.54
6113	.41
6115	.54
8001	.11
8003	.25
8005	.03
8007	.02
8009	.11
8011	.00
8013	.17
8015	.00
8017	.17
8019	.00
8021	.05
8023	.00
8025	.16
8027	.07
8029	.17
8031	.00
8033	.01
8035	.02
8037	.06
8039	.15
8041	.01
8043	.00
8045	.06
8047	.00
8051	.01
8053	.00
8055	.04
8057	.02
8059	.01
8061	.12
8063	.16
8065	.00
8067	.01
8069	.29
8071	.09
8073	.00
8075	.11
8077	.20
8079	.00
8081	.00
8083	.04
8085	.24
8087	.19
8089	.57
8091	.00
8093	.00
8095	.20
8097	.04
8099	.21
8101	.21
8103	.00
8105	.24
8107	.08
8109	.10
8111	.00
8113	.00
8115	.17
8117	.00
8119	.00
8121	.08
8123	.23
8125	.28
16047	.00
9001	.09
9003	.29
9005	.05
9007	.13
9009	.18
9011	.07
9013	.15
9015	.13
10001	.30
10003	.34
10005	.27
12001	.13
12003	.17
12005	.07
12007	.21
12009	.52
12011	.31
12013	.63
12015	.51
12017	.10
12019	.00
12021	.75
12023	.10
12027	.61
12029	.06
12031	.17
12033	.50
12035	.53
12037	.00
12039	.23
12041	.23
12043	.38
12045	.03
12047	.15
12049	.44
12051	.65
12053	.13
12055	.64
12057	.36
12059	.12
12061	.86
12063	.37
12065	.17
12067	.16
12069	.33
12071	.63
12073	.05
12075	.16
12077	.08
12079	.30
12081	.48
12083	.12
12085	.76
12087	.00
12089	.04
12091	.20
12093	.33
12095	.62
12097	.43
12099	.47
12101	.25
12103	.18
12105	.61
12107	.31
12109	.76
12111	.82
12113	.43
12115	.28
12117	.16
12119	.12
12121	.23
12123	.04
12125	.19
12127	.32
12129	.22
12131	.14
12133	.13
13001	.68
13003	.51
13005	.35
13007	.39
13009	.00
13011	.00
13013	.02
13015	.12
13017	.44
13019	.47
13021	.06
13023	.39
13025	.31
13027	.60
13029	.61
13031	.64
13033	.44
13035	.02
13037	.49
13039	.06
13043	.59
13045	.05
13047	.02
13049	.10
13051	.16
13053	.00
13055	.00
13057	.09
13059	.01
13061	.36
13063	.02
13065	.24
13067	.02
13069	.47
13071	.69
13073	.01
13075	.52
13077	.00
13079	.33
13081	.63
13083	.01
13085	.00
13087	.59
13089	.00
13091	.34
13093	.73
13095	.45
13097	.00
13099	.52
13101	.37
13103	.43
13105	.06
13107	.50
13109	.34
13111	.05
13113	.02
13115	.12
13117	.02
13119	.05
13121	.01
13123	.07
13125	.16
13127	.01
13129	.02
13131	.39
13133	.01
13135	.01
13137	.03
13139	.02
13141	.00
13143	.00
13145	.04
13147	.00
13149	.02
13151	.03
13153	.36
13155	.53
13157	.00
13159	.00
13161	.69
13163	.29
13165	.46
13167	.28
13169	.04
13171	.00
13173	.64
13175	.24
13177	.43
13179	.05
13181	.00
13183	.21
13185	.43
13187	.08
13189	.03
13191	.00
13193	.38
13195	.01
13197	.08
13199	.04
13201	.48
13205	.57
13207	.04
13209	.22
13211	.03
13213	.03
13215	.02
13217	.00
13219	.09
13221	.01
13223	.04
13225	.46
13227	.03
13229	.55
13231	.11
13233	.07
13235	.52
13237	.00
13239	.47
13241	.11
13243	.35
13245	.15
13247	.00
13249	.21
13251	.52
13253	.63
13255	.00
13257	.06
13259	.31
13261	.55
13263	.00
13265	.00
13267	.38
13269	.32
13271	.36
13273	.43
13275	.57
13277	.56
13279	.36
13281	.01
13283	.26
13285	.05
13287	.51
13289	.43
13291	.07
13293	.00
13295	.02
13297	.06
13299	.30
13301	.00
13303	.23
13305	.55
13307	.31
13309	.22
13311	.03
13313	.01
13315	.51
13317	.03
13319	.03
13321	.55
16001	.15
16003	.00
16005	.06
16007	.00
16009	.17
16011	.24
16013	.00
16015	.00
16017	.02
16019	.11
16021	.38
16023	.05
16025	.05
16027	.33
16029	.02
16031	.19
16033	.00
16035	.20
16037	.00
16039	.29
16041	.03
16043	.16
16045	.14
16049	.05
16051	.18
16053	.26
16055	.04
16057	.25
16059	.00
16061	.14
16063	.00
16065	.28
16067	.00
16069	.22
16071	.01
16073	.13
16075	.00
16077	.14
16079	.00
16081	.20
16083	.17
16085	.06
16087	.07
17001	.16
17003	.04
17005	.07
17007	.13
17009	.17
17011	.26
17013	.08
17015	.47
17017	.17
17019	.40
17021	.14
17023	.14
17025	.09
17027	.21
17029	.09
17031	.10
17033	.13
17035	.18
17037	.25
17039	.16
17041	.10
17043	.21
17045	.19
17047	.06
17049	.15
17051	.18
17053	.31
17055	.16
17057	.12
17059	.14
17061	.22
17063	.25
17065	.06
17067	.17
17069	.02
17071	.26
17073	.24
17075	.34
17077	.02
17079	.24
17081	.06
17083	.17
17085	.35
17087	.01
17089	.19
17091	.41
17093	.15
17095	.15
17097	.16
17099	.18
17101	.05
17103	.26
17105	.27
17107	.16
17109	.14
17111	.22
17113	.25
17115	.13
17117	.23
17119	.24
17121	.15
17123	.24
